DATE,O,H,L,C,SYM
20110630,111.58,112.32,110.38,111.92,CL
20110701,111.62,111.89,109.95,111.44,CL
20110705,111.47,113.98,110.84,113.39,CL
20110706,113.5,114.29,112.4,113.15,CL
20110707,113.54,115.92,113.49,115.17,CL
20110708,115.29,115.68,112.1,112.7,CL
20110711,112.6,113.25,110.64,111.65,CL
20110712,111.59,114.0,110.05,113.93,CL
20110713,113.22,115.71,113.03,114.55,CL
20110714,114.09,115.38,111.03,112.19,CL
20110715,112.53,114.24,111.71,113.74,CL
20110718,113.87,114.19,111.19,112.43,CL
20110719,112.66,115.15,112.43,114.0,CL
20110720,114.61,115.52,113.14,114.64,CL
20110721,114.6,116.4,113.44,115.37,CL
20110722,115.44,116.43,114.67,116.11,CL
20110725,116.0,116.11,114.76,115.44,CL
20110726,115.39,116.86,114.0,115.83,CL
20110727,115.42,115.74,113.38,113.64,CL
20110728,113.51,114.25,112.75,113.68,CL
20110729,113.4,113.63,111.19,111.94,CL
20110801,112.44,114.84,109.66,111.13,CL
20110802,111.26,111.92,109.32,110.03,CL
20110803,109.39,109.99,107.46,108.17,CL
20110804,108.18,108.83,102.28,102.87,CL
20110805,102.74,104.56,99.11,103.12,CL
20110808,101.95,101.97,96.41,97.55,CL
20110809,97.34,99.29,91.95,95.54,CL
20110810,98.14,99.38,95.77,99.13,CL
20110811,98.19,102.21,97.27,101.96,CL
20110812,101.79,103.61,100.26,101.62,CL
20110815,101.83,104.29,100.64,104.12,CL
20110816,103.92,104.17,101.86,102.89,CL
20110817,103.34,105.24,102.89,103.82,CL
20110818,103.65,103.77,97.39,98.62,CL
20110819,97.54,99.79,95.41,98.5,CL
20110822,98.66,100.91,97.37,100.36,CL
20110823,100.39,102.33,99.34,101.38,CL
20110824,101.61,102.53,100.49,101.1,CL
20110825,101.11,102.5,98.95,101.24,CL
20110826,101.03,101.58,98.89,101.31,CL
20110829,101.27,103.56,101.05,103.21,CL
20110830,103.45,105.15,102.4,104.84,CL
20110831,104.73,105.48,103.61,104.75,CL
20110901,104.67,105.84,104.15,104.87,CL
20110902,104.72,104.93,101.36,102.39,CL
20110906,102.4,102.54,99.14,101.96,CL
20110907,102.44,106.42,102.09,105.28,CL
